id,value
id_0,18.7509937687
id_1,17.4174313156
id_2,28.0265425061
id_3,33.9663578802
id_4,11.1646955914
id_5,20.9109723348
id_6,41.52468021
id_7,18.0150632628
id_8,21.0878620836
id_9,16.3841980724
id_10,35.3194892774
id_11,31.0305327269
id_12,33.4283179105
id_13,18.026106357
id_14,15.9351409143
id_15,18.5214364908
id_16,33.1268649739
id_17,17.0411805758
id_18,14.840488736
id_19,11.0549826064
id_20,19.2927374415
id_21,26.9842226247
id_22,41.5279158127
id_23,24.6791043196
id_24,43.4983935382
id_25,21.9557482012
id_26,35.9171437136
id_27,20.6676917391
id_28,33.5348139563
id_29,20.7345920289
id_30,18.8650428278
id_31,17.0632787838
id_32,24.8340837253
id_33,19.0361068312
id_34,25.4085802066
id_35,37.9735312157
id_36,35.9165772247
id_37,39.8646273912
id_38,23.5788400717
id_39,31.864202039
id_40,34.9592378283
id_41,29.9989451047
id_42,27.1210562818
id_43,29.358264924
id_44,31.5720838938
id_45,34.8669649994
id_46,31.1505949717
id_47,27.3748371224
id_48,21.1202848432
id_49,29.7258941159
id_50,22.2092992394
id_51,28.0934364046
id_52,34.9659820426
id_53,24.9240603228
id_54,42.3427375386
id_55,30.3816933139
id_56,32.3230815986
id_57,18.91678166
id_58,36.4374425471
id_59,41.932407851
id_60,22.2486521279
id_61,39.068559406
id_62,35.895480232
id_63,39.5633902179
id_64,29.9755244944
id_65,26.8396546692
id_66,46.0996427418
id_67,38.3813583525
id_68,29.7907395971
id_69,35.1610464543
id_70,35.4024135266
id_71,38.6102663514
id_72,38.6175332683
id_73,27.5586154883
id_74,32.8719862324
id_75,29.7152567142
id_76,34.3600171132
id_77,22.3604598224
id_78,35.0945457224
id_79,27.0464052027
id_80,20.1429564985
id_81,28.7833282399
id_82,24.4539392674
id_83,38.9250908033
id_84,27.0879812196
id_85,23.0504856087
id_86,27.8543199485
id_87,30.0183474411
id_88,28.3000995496
id_89,28.0307128884
id_90,29.5544271532
id_91,22.1670168613
id_92,31.826900328
id_93,23.5092224287
id_94,32.6931714181
id_95,33.8570967893
id_96,31.692640661
id_97,25.3630347579
id_98,24.8891465315
id_99,28.4216154404
id_100,26.2140611735
id_101,31.9465831723
id_102,30.8864903778
id_103,27.1432473095
id_104,18.8087960308
id_105,27.9076768809
id_106,31.1283323007
id_107,28.9895460766
id_108,30.371035847
id_109,26.1267868897
id_110,20.1921197336
id_111,22.6928579363
id_112,28.8458953151
id_113,31.4396455932
id_114,23.3065773665
id_115,28.2622145724
id_116,26.8779934455
id_117,29.239490225
id_118,44.3800468863
id_119,23.8939262838
id_120,26.1504646685
id_121,27.92335554
id_122,24.4229137129
id_123,26.5785192094
id_124,29.9999907305
id_125,21.4567227799
id_126,31.1120394266
id_127,20.7391188549
id_128,19.973845393
id_129,26.9722688083
id_130,26.1592061208
id_131,25.3780670165
id_132,33.3869401889
id_133,22.8495853824
id_134,27.4340352072
id_135,21.627937623
id_136,24.8569936116
id_137,25.4459219434
id_138,23.6663137338
id_139,23.3416151488
id_140,28.9648072216
id_141,14.9926062043
id_142,19.844825641
id_143,26.1322236239
id_144,24.4132211226
id_145,18.3796487664
id_146,31.2032601669
id_147,26.9612615626
id_148,35.8394732632
id_149,38.0201477536
id_150,30.5382091146
id_151,43.5184949457
id_152,33.5346447557
id_153,19.5790607818
id_154,33.5469609768
id_155,33.4694929592
id_156,25.2850787651
id_157,22.2126037367
id_158,24.5698593455
id_159,28.7675976698
id_160,38.1016672273
id_161,19.3292564435
id_162,24.4261266901
id_163,20.1435797557
id_164,18.5536982285
id_165,32.166384933
id_166,28.9559739632
id_167,30.9921107441
id_168,42.9503199735
id_169,39.2639574553
id_170,24.8094244256
id_171,27.6187484457
id_172,33.1744847503
id_173,19.9740367582
id_174,39.9059507334
id_175,30.8284606806
id_176,22.3927743913
id_177,36.5265530349
id_178,34.0744682758
id_179,36.2644249158
id_180,20.1489028117
id_181,22.1013842127
id_182,37.6509338832
id_183,28.7806665397
id_184,12.2592707764
id_185,20.4462414099
id_186,30.398668553
id_187,21.5309133136
id_188,26.5422785113
id_189,20.0674489518
id_190,15.7893562276
id_191,12.6425238391
id_192,21.0078743887
id_193,33.1956406658
id_194,31.143427794
id_195,25.4717239785
id_196,40.3353507863
id_197,13.8254701612
id_198,27.2052409202
id_199,40.4001286768
id_200,34.0677103568
id_201,28.283974406
id_202,26.6079896378
id_203,13.9388977873
id_204,42.1872948066
id_205,24.6501291049
id_206,14.510078799
id_207,24.6345300747
id_208,35.9318392259
id_209,17.9011135793
id_210,19.6908754075
id_211,39.3043073382
id_212,18.658859686
id_213,25.1178913728
id_214,26.1793890582
id_215,46.260897052
id_216,30.3384709835
id_217,34.4798094894
id_218,28.2221498538
id_219,21.8618227301
id_220,17.2021953159
id_221,40.6212129944
id_222,16.6091619496
id_223,30.9676791908
id_224,14.4208165504
id_225,16.2961430738
id_226,17.5198630755
id_227,21.619132638
id_228,22.5867968554
id_229,15.7839192558
id_230,19.8746421766
id_231,23.8920389946
id_232,24.4085333912
id_233,18.2666537685
id_234,23.1221929051
id_235,30.1405354549
id_236,16.7991880353
id_237,16.6380542829
id_238,18.1905769273
id_239,19.2933780255
