id,value
id_0,-70.2386328332
id_1,-60.2490768359
id_2,-112.967578166
id_3,-125.777631973
id_4,-42.0792430253
id_5,-76.6965968871
id_6,-161.580942914
id_7,-67.5680298398
id_8,-73.0806070859
id_9,-64.5430931337
id_10,-133.320170958
id_11,-123.858681761
id_12,-124.170576287
id_13,-68.0888958023
id_14,-53.9057788977
id_15,-69.2976748413
id_16,-131.891519229
id_17,-58.860781688
id_18,-56.6099896828
id_19,-39.8382200835
id_20,-74.2085050515
id_21,-108.699807042
id_22,-162.522562971
id_23,-86.9667842928
id_24,-166.159280002
id_25,-86.1486805232
id_26,-138.676682503
id_27,-75.9540760185
id_28,-135.474867167
id_29,-80.5158345788
id_30,-72.1887888645
id_31,-66.1488732062
id_32,-91.0869224105
id_33,-69.4664435268
id_34,-93.3484473646
id_35,-150.924580541
id_36,-140.098679083
id_37,-155.621826803
id_38,-94.6998207102
id_39,-127.703754105
id_40,-141.030690343
id_41,-114.592077723
id_42,-104.791291223
id_43,-108.270219062
id_44,-127.537372837
id_45,-136.662403369
id_46,-112.600054782
id_47,-105.008256249
id_48,-80.35770596
id_49,-119.180914546
id_50,-80.9212599478
id_51,-104.201458355
id_52,-139.531077085
id_53,-92.07712915
id_54,-164.479981467
id_55,-119.553146191
id_56,-120.122635048
id_57,-70.5356054924
id_58,-143.122525076
id_59,-163.044551317
id_60,-88.9514173164
id_61,-151.945558405
id_62,-142.952607877
id_63,-150.993484081
id_64,-115.87392491
id_65,-102.830041874
id_66,-179.270452957
id_67,-145.532604769
id_68,-111.601183236
id_69,-131.958531866
id_70,-132.920502493
id_71,-148.262096141
id_72,-148.25648358
id_73,-113.62402286
id_74,-125.497264446
id_75,-105.8782079
id_76,-130.494642228
id_77,-83.0141139173
id_78,-135.120416334
id_79,-101.577035703
id_80,-77.3473406609
id_81,-111.529877487
id_82,-94.7333963816
id_83,-154.871817629
id_84,-102.553165691
id_85,-88.9739030021
id_86,-110.293611124
id_87,-116.248161991
id_88,-109.320759394
id_89,-108.38698808
id_90,-119.315583827
id_91,-86.7305012663
id_92,-122.869972761
id_93,-92.7416166066
id_94,-128.631121016
id_95,-129.366246552
id_96,-124.46617683
id_97,-99.5959871731
id_98,-97.5946040361
id_99,-111.324066987
id_100,-100.042562025
id_101,-127.240983043
id_102,-119.840742363
id_103,-106.68943449
id_104,-71.1644641397
id_105,-108.831206602
id_106,-120.382724179
id_107,-112.125351366
id_108,-120.168962543
id_109,-102.15406522
id_110,-76.1647209209
id_111,-84.8615807153
id_112,-112.702585926
id_113,-121.428628504
id_114,-86.6834364557
id_115,-110.40962918
id_116,-103.877722923
id_117,-113.798483053
id_118,-172.971207236
id_119,-91.8916362468
id_120,-102.987956325
id_121,-109.605004733
id_122,-92.5562867988
id_123,-103.77911292
id_124,-117.400384107
id_125,-79.6777207935
id_126,-122.024436631
id_127,-78.4434084887
id_128,-74.0688037838
id_129,-105.623607292
id_130,-102.526130325
id_131,-98.3792724293
id_132,-126.342765366
id_133,-79.9762012896
id_134,-105.047594317
id_135,-81.1543992938
id_136,-92.4754963585
id_137,-96.8576526675
id_138,-90.4047834115
id_139,-88.1823042212
id_140,-116.16998063
id_141,-54.7203126188
id_142,-75.8336715888
id_143,-97.4680427621
id_144,-89.103338904
id_145,-70.5202668886
id_146,-115.84584529
id_147,-101.086558404
id_148,-144.26100258
id_149,-152.457913558
id_150,-123.458665719
id_151,-171.520760735
id_152,-127.763236764
id_153,-75.7979125372
id_154,-134.841666726
id_155,-135.630855022
id_156,-101.293894327
id_157,-86.3398880357
id_158,-91.5799795916
id_159,-117.091902033
id_160,-149.926473372
id_161,-72.3123271845
id_162,-91.1199512406
id_163,-76.6553314073
id_164,-69.3051058233
id_165,-120.138332942
id_166,-111.842460935
id_167,-121.914064242
id_168,-165.892293688
id_169,-154.407504563
id_170,-92.3396356091
id_171,-104.909724973
id_172,-130.470614149
id_173,-77.3098904411
id_174,-150.196867526
id_175,-121.61799954
id_176,-85.046157744
id_177,-135.219602526
id_178,-128.553988816
id_179,-142.38063493
id_180,-74.5623644251
id_181,-86.0822494635
id_182,-141.87423043
id_183,-111.475645504
id_184,-45.8196424468
id_185,-75.6753705896
id_186,-110.938836368
id_187,-86.2918566649
id_188,-97.0906336981
id_189,-79.2263763794
id_190,-60.2871568001
id_191,-47.3932364895
id_192,-79.3034303487
id_193,-118.150563122
id_194,-124.909440355
id_195,-103.26607416
id_196,-156.750743119
id_197,-51.933839334
id_198,-110.295880587
id_199,-155.023331463
id_200,-135.911533745
id_201,-102.50114877
id_202,-105.619209384
id_203,-51.1560074795
id_204,-163.267464182
id_205,-100.979442208
id_206,-55.2039184849
id_207,-89.5666154993
id_208,-144.580557853
id_209,-63.2588587934
id_210,-73.3190458319
id_211,-144.261576634
id_212,-69.1405624976
id_213,-83.6990797487
id_214,-103.933164583
id_215,-174.980097812
id_216,-119.983195845
id_217,-126.187073159
id_218,-113.425932284
id_219,-77.2881381892
id_220,-61.3996018658
id_221,-152.805182474
id_222,-61.8847171712
id_223,-116.069012938
id_224,-47.9443234085
id_225,-61.9457507334
id_226,-64.3265460349
id_227,-81.4920940165
id_228,-88.8631250463
id_229,-60.5309698871
id_230,-71.437112962
id_231,-92.337888896
id_232,-90.6235310445
id_233,-68.6716605913
id_234,-89.8471929301
id_235,-123.45412701
id_236,-64.992453481
id_237,-63.5037475554
id_238,-68.6978884523
id_239,-75.521625933
