id,value
id_0,29.8303689303
id_1,28.5687947218
id_2,43.2589361076
id_3,54.2582139308
id_4,17.7196040778
id_5,33.54048742
id_6,65.041246655
id_7,28.6441630626
id_8,34.5632827893
id_9,25.5428428701
id_10,55.9922949342
id_11,48.1000264525
id_12,53.3326579681
id_13,28.5834662229
id_14,26.3365459051
id_15,29.4737496077
id_16,51.4052561927
id_17,27.9530070529
id_18,23.4369287261
id_19,17.8551507091
id_20,30.3606302097
id_21,41.6649812211
id_22,64.8940783414
id_23,40.1809342118
id_24,68.6491308591
id_25,34.2758146859
id_26,56.4146067745
id_27,33.1126757836
id_28,51.7046688298
id_29,32.5080356166
id_30,29.7531670379
id_31,26.7670423962
id_32,39.8163435815
id_33,30.598322895
id_34,40.715544765
id_35,58.9582415686
id_36,56.1941789086
id_37,62.3425848232
id_38,36.4474997853
id_39,49.3024807627
id_40,53.9188493239
id_41,47.3521718638
id_42,42.6248963716
id_43,46.9678791864
id_44,48.6746302338
id_45,54.4655471294
id_46,50.22631563
id_47,43.1434245077
id_48,33.3917047219
id_49,45.9795690882
id_50,35.7149696249
id_51,44.8409855089
id_52,54.1865197331
id_53,39.8477453951
id_54,66.3599966026
id_55,47.3773668446
id_56,51.5567525009
id_57,30.1488747863
id_58,56.8419250432
id_59,65.7096484838
id_60,34.4512040596
id_61,61.2095977105
id_62,55.686205728
id_63,62.457951185
id_64,47.0834461269
id_65,42.3158029969
id_66,72.2243727795
id_67,60.7438035054
id_68,47.3802233436
id_69,55.8738490648
id_70,56.2644526445
id_71,60.821843283
id_72,60.8223667481
id_73,42.1026246428
id_74,51.871144978
id_75,48.1682038124
id_76,54.3629253054
id_77,35.6760801585
id_78,55.2219926337
id_79,42.9880116864
id_80,31.7267901973
id_81,45.1592298493
id_82,38.3633874192
id_83,60.4001326841
id_84,42.8991626496
id_85,36.2223509348
id_86,43.3047555268
id_87,47.1022466739
id_88,44.4609777105
id_89,44.0154221952
id_90,45.5829362952
id_91,34.6435209346
id_92,50.0068249695
id_93,36.6177372831
id_94,50.9729362704
id_95,53.4204718554
id_96,49.4421029022
id_97,39.5658989686
id_98,38.8539962555
id_99,44.3910311786
id_100,41.3764178741
id_101,49.5498310711
id_102,48.4291200604
id_103,42.3317886491
id_104,29.8026975809
id_105,43.6719947627
id_106,48.8741483919
id_107,45.515804071
id_108,47.2378388738
id_109,40.8379261694
id_110,32.0317095338
id_111,36.1046945203
id_112,45.1010255927
id_113,49.3886177329
id_114,37.1757832447
id_115,44.1888291982
id_116,42.2162722702
id_117,45.7948135509
id_118,69.4633401269
id_119,37.6014804326
id_120,40.7485316734
id_121,43.5720707789
id_122,38.6559324698
id_123,41.5622576823
id_124,46.8722529974
id_125,34.2483348788
id_126,48.5797314791
id_127,32.8542503211
id_128,31.8880228439
id_129,42.1294235915
id_130,40.8435358584
id_131,39.8157865551
id_132,52.881675987
id_133,37.2955997941
id_134,43.2583324895
id_135,34.3764510249
id_136,39.6257708955
id_137,40.2162711186
id_138,37.367845915
id_139,37.0175776035
id_140,44.8033307436
id_141,24.0836990724
id_142,31.3187442872
id_143,41.6192684382
id_144,39.2098380413
id_145,28.9549808336
id_146,49.7874045944
id_147,42.8498406009
id_148,55.3300552975
id_149,58.7899246297
id_150,47.0668220766
id_151,67.7879447961
id_152,52.9560336266
id_153,30.7298232809
id_154,51.8326095005
id_155,51.533588506
id_156,39.1254013616
id_157,34.8141263707
id_158,39.1431130564
id_159,44.2090517266
id_160,59.4151071753
id_161,30.7670543884
id_162,38.9389128297
id_163,31.8394599365
id_164,29.5535500986
id_165,51.1999267542
id_166,45.4953708211
id_167,48.3116555456
id_168,67.4958070527
id_169,61.2139117084
id_170,39.5520274387
id_171,43.7153465469
id_172,51.7222018374
id_173,31.352466348
id_174,63.3493214219
id_175,48.0029874894
id_176,35.4207275423
id_177,58.3562593022
id_178,54.023059796
id_179,56.587550179
id_180,32.2122066286
id_181,34.615871923
id_182,59.7400719711
id_183,45.1476570639
id_184,19.5195745856
id_185,32.6850274052
id_186,48.8318251791
id_187,33.3194529087
id_188,42.5843934507
id_189,31.2527792868
id_190,24.9332453068
id_191,20.1026487183
id_192,33.3162067776
id_193,53.8426267444
id_194,48.1796940108
id_195,39.2209377876
id_196,63.2284474969
id_197,21.9645351223
id_198,41.8782521603
id_199,63.6338113474
id_200,52.8240287822
id_201,45.5575270132
id_202,41.3487818059
id_203,22.3596813216
id_204,66.2356323474
id_205,37.7786623078
id_206,22.9436992256
id_207,39.6353988431
id_208,55.4898499924
id_209,29.1220970767
id_210,31.4037290629
id_211,63.014119516
id_212,29.8075626256
id_213,41.7327178082
id_214,40.6682314517
id_215,73.3139286738
id_216,47.2203210255
id_217,55.3399137148
id_218,43.6178648261
id_219,35.5605086164
id_220,27.8856156081
id_221,64.5192556902
id_222,26.4870192453
id_223,49.2239054021
id_224,23.9754406964
id_225,25.7692480567
id_226,28.0950484104
id_227,34.3231086705
id_228,35.2306812902
id_229,24.8659859389
id_230,32.1106539641
id_231,37.518329353
id_232,38.9419732496
id_233,29.0217632031
id_234,36.226343945
id_235,46.1884433402
id_236,26.3767353038
id_237,26.2659216313
id_238,28.8494156714
id_239,30.1465919586
