id,value
id_0,21.637810192
id_1,40.9539707566
id_2,15.7501566225
id_3,37.2457502384
id_4,12.585355646
id_5,28.4662658373
id_6,31.2030193876
id_7,20.160594352
id_8,48.3372450642
id_9,13.5897302071
id_10,31.3197422748
id_11,19.9988489818
id_12,35.3579995194
id_13,19.7246126308
id_14,39.3490736387
id_15,19.946492332
id_16,22.3015810841
id_17,36.3590756154
id_18,14.1471188359
id_19,18.3156896784
id_20,14.4399756231
id_21,15.3441623874
id_22,29.190688044
id_23,44.0743561455
id_24,39.8241582772
id_25,15.2695856288
id_26,21.9504982498
id_27,22.9320409668
id_28,15.8521610155
id_29,15.823977477
id_30,16.6028366418
id_31,12.3351760735
id_32,28.0973082102
id_33,29.4426845869
id_34,29.6757509611
id_35,22.7150808486
id_36,24.8452325604
id_37,23.8372153616
id_38,11.4367167636
id_39,17.9186384383
id_40,12.7897415677
id_41,29.3407257114
id_42,27.4862633894
id_43,31.4720473534
id_44,12.5695882869
id_45,28.9505049844
id_46,42.318811384
id_47,27.9168103697
id_48,21.1357319429
id_49,14.1510918519
id_50,32.5143839696
id_51,27.3258008713
id_52,16.7810347732
id_53,26.0207160438
id_54,28.9596283866
id_55,22.5480662571
id_56,32.6249773823
id_57,22.9415161647
id_58,21.3704433446
id_59,34.5237075014
id_60,10.177778399
id_61,29.7262795296
id_62,21.5553932328
id_63,34.1616005334
id_64,25.6935727579
id_65,25.6219686895
id_66,33.7681473964
id_67,34.0866892562
id_68,30.5282766668
id_69,34.7353028712
id_70,39.4099232303
id_71,37.8873882682
id_72,34.0195108829
id_73,5.95236237625
id_74,23.9194168849
id_75,44.5790528696
id_76,35.7012820434
id_77,20.5180792165
id_78,33.97327026
id_79,31.8405993542
id_80,17.8410972839
id_81,20.6791479298
id_82,15.2692665252
id_83,20.2744025705
id_84,24.3956511872
id_85,17.0917695684
id_86,13.6418391937
id_87,20.5158131282
id_88,22.5742019666
id_89,20.4622683367
id_90,14.0326358457
id_91,14.5785991575
id_92,23.2090446029
id_93,15.3035433998
id_94,20.4885698996
id_95,27.9338592779
id_96,17.8249144325
id_97,12.8349736585
id_98,13.9334840544
id_99,17.2503518229
id_100,20.0483725832
id_101,15.799248232
id_102,21.2554365811
id_103,15.1628838036
id_104,19.5417427809
id_105,19.1147458143
id_106,22.3244703397
id_107,21.2901522353
id_108,16.4367354004
id_109,16.247523389
id_110,21.0677519424
id_111,19.4337068246
id_112,17.9791489759
id_113,22.3332844284
id_114,26.2869173125
id_115,17.1600660671
id_116,20.4630658169
id_117,21.0553581243
id_118,31.2691842624
id_119,17.8321844979
id_120,13.7665956717
id_121,15.9700553585
id_122,19.5653303372
id_123,15.6370545101
id_124,18.1570876763
id_125,25.5057088317
id_126,22.4621657912
id_127,17.8010812815
id_128,20.8707591972
id_129,15.6515174736
id_130,14.3117348279
id_131,20.3197928012
id_132,29.7602678666
id_133,42.411759533
id_134,24.7226009564
id_135,21.6885252888
id_136,22.4043627547
id_137,23.5596536204
id_138,26.6787357732
id_139,28.7661689862
id_140,16.4317238356
id_141,17.7484066761
id_142,18.4345269292
id_143,23.2635041702
id_144,27.1437123593
id_145,15.275892599
id_146,30.8247385255
id_147,22.1820519095
id_148,13.2903402421
id_149,14.3937922539
id_150,12.8290287138
id_151,22.8304904235
id_152,23.0478096562
id_153,14.1906380651
id_154,15.5964740946
id_155,14.8793251849
id_156,12.4523614037
id_157,17.6557283612
id_158,22.6197125348
id_159,11.0881775497
id_160,28.6295901314
id_161,22.9916589625
id_162,34.3493560351
id_163,18.2801798057
id_164,23.397402709
id_165,28.7921694744
id_166,23.5576154312
id_167,15.1906070356
id_168,39.817910058
id_169,20.5932201225
id_170,24.5593007463
id_171,34.4971581258
id_172,17.0450096348
id_173,14.5865424397
id_174,41.1338989735
id_175,15.7216916988
id_176,20.0088281877
id_177,41.5048969419
id_178,28.4191611477
id_179,22.6339537349
id_180,27.3809242161
id_181,18.2281924011
id_182,37.6574949028
id_183,17.6706750843
id_184,14.0794924263
id_185,27.5773206941
id_186,36.7497839474
id_187,13.1765507107
id_188,26.7743552872
id_189,13.9598659585
id_190,16.3402902372
id_191,13.0317704045
id_192,22.3681194391
id_193,54.5770189676
id_194,20.1098231517
id_195,13.4804980399
id_196,35.5237299293
id_197,13.5919112165
id_198,12.1356051753
id_199,32.6739775121
id_200,23.584811341
id_201,36.7289852077
id_202,19.6594782259
id_203,21.0727256026
id_204,36.6650978332
id_205,9.19296768661
id_206,15.3278952919
id_207,32.550635982
id_208,16.4142455831
id_209,33.3922750327
id_210,25.1381543508
id_211,51.5235385913
id_212,22.4309976501
id_213,68.1274368925
id_214,15.6199645198
id_215,51.4186926491
id_216,24.0861018445
id_217,44.9247298725
id_218,16.1692079198
id_219,40.925742179
id_220,31.0055603749
id_221,48.214269071
id_222,22.8881429621
id_223,26.6446655509
id_224,38.1599549058
id_225,15.3304241789
id_226,25.4488922355
id_227,28.0412869712
id_228,19.7021605071
id_229,12.1189082123
id_230,26.8380729607
id_231,16.4905103081
id_232,22.5562485823
id_233,21.6602743775
id_234,13.7173140669
id_235,9.99088341799
id_236,12.575420191
id_237,14.3333551597
id_238,21.2583716191
id_239,12.5130907073
